preRotation0							
10400转速							
8800转速							
折合流量	0.000442274	0.000491656	0.0005239	0.0006019	0.0006759	0.0008096	0.0009156
效率	0.4578531	0.736656	0.7938421	0.8407019	0.6122814	0.3871539	0.2627123
膨胀比	1.696828	1.723094	1.741272	1.789168	1.840726	1.955551	2.086142
流量	257.3685899	286.1053183	304.8735391	350.2871043	393.3143388	471.1379808	532.8288706
8000转速							
折合流量	0.0003918	0.0004087	0.0004423	0.0005239	0.0006759	0.0008096	0.0009156
效率	0.2183999	0.5006647	0.7049596	0.8249403	0.5803796	0.3527623	0.2390025
膨胀比	1.678193	1.685872	1.701586	1.743034	1.835817	1.942878	2.064226
流量	227.992138	237.851099	257.3685899	304.8735391	393.3143388	471.1379808	532.8288706
7200转速							
折合流量	0.0003576	0.0003918	0.000442274	0.000523909	0.000675889	0.000809625	0.000866752
效率	0.2934833	0.658088	0.7890882	0.8313634	0.5394961	0.3174584	0.2208452
膨胀比	1.66895	1.682815	1.704451	1.742843	1.828856	1.928078	1.982613
流量	208.0869771	227.992138	257.3685899	304.8735391	393.3143388	471.1379808	504.3814501
6400转速							
折合流量	0.000314274	0.000322983	0.000442274	0.000523909	0.000601949	0.000675889	0.000809625
效率	0.3250318	0.6059974	0.8176773	0.8218743	0.5262924	0.4920114	0.2016171
膨胀比	1.657577	1.660585	1.705423	1.740692	1.778803	1.819864	1.911204
流量	182.8826383	187.9504734	257.3685899	304.8735391	350.2871043	393.3143388	471.1379808
5600转速							
折合流量	0.000288019	0.000305543	0.000374741	0.000442274	0.000539821	0.000601949	0.000745258
效率	0.6667858	0.7902153	0.8926367	0.8144953	0.7961768	0.4720257	0.2563131
膨胀比	1.653079	1.6584	1.680652	1.704493	1.743342	1.771371	1.849177
流量	167.604129	177.8021871	218.0698815	257.3685899	314.1333016	350.2871043	433.68121
4800转速							
折合流量	0.000252732	0.000357586	0.000408734	0.000442274	0.000491656	0.000601949	0.000675889
效率	0.7159616	0.9010669	0.7989886	0.7908084	0.7762906	0.411842	0.2305973
膨胀比	1.646415	1.675155	1.690775	1.701666	1.718724	1.761989	1.795922
流量	147.0703361	208.0869771	237.851099	257.3685899	286.1053183	350.2871043	393.3143388
4000转速							
折合流量	0.000199283	0.000217162	0.000357586	0.000408734	0.000442274	0.000491656	0.000601949
效率	0.3779466	0.7561401	0.7801112	0.7620015	0.749195	0.3948464	0.3477333
膨胀比	1.636853	1.640583	1.67351	1.687307	1.696953	1.712107	1.750694
流量	115.9672252	126.3714405	208.0869771	237.851099	257.3685899	286.1053183	350.2871043
3200转速							
折合流量	0.000181348	0.000217162	0.000270413	0.000340332	0.000408734	0.000442274	0.000491656
效率	0.7889619	0.8727219	0.8947877	0.7355731	0.7024702	0.6873772	0.3171724
膨胀比	1.635567	1.641801	1.65176	1.666196	1.681977	1.690375	1.703617
流量	105.5301953	126.3714405	157.3592728	198.0463404	237.851099	257.3685899	286.1053183
2900转速							
折合流量	0.000145328	0.000181348	0.000288019	0.000357586	0.000391792	0.000425563	0.000442274
效率	0.391993	0.8423269	0.8950891	0.69916	0.6816249	0.6654614	0.3070657
膨胀比	1.630507	1.635989	1.654358	1.66823	1.675661	1.683425	1.687432
流量	84.56951669	105.5301953	167.604129	208.0869771	227.992138	247.6442156	257.3685899
